year,sex,ite,lasalle_degree,lasalle_diploma,nafa_degree,nafa_diploma,nanyang_polytechnic,ngee_ann_polytechnic,nie,ntu,nus,republic_polytechnic,singapore_polytechnic,sit,smu,suss,sutd,temasek_polytechnic
2004,MF,19207,0,0,0,0,14233,13417,2282,16837,21781,1907,13709,0,3010,0,0,12782
2004,F,6076,0,0,0,0,7875,6347,1550,7469,11372,865,5233,0,1991,0,0,6302
2005,MF,21603,0,1505,0,1933,14643,13715,2881,17777,22105,3587,13353,0,3781,0,0,13582
2005,M,14288,0,599,0,697,6633,7215,941,9683,10779,1828,8334,0,1542,0,0,6806
2005,F,7315,0,906,0,1236,8010,6500,1940,8094,11326,1759,5019,0,2239,0,0,6776
2006,F,8052,0,1139,0,1352,7913,6719,1998,8797,11766,2790,5084,0,2429,0,0,7236
2006,MF,23636,0,1904,0,2083,15001,14258,2938,19114,22836,5479,13656,0,4259,0,0,14568
2006,M,15584,0,765,0,731,7088,7539,940,10317,11070,2689,8572,0,1830,0,0,7332
2007,F,8235,0,1228,0,1396,7732,7007,1878,9769,12396,4205,5249,0,2758,0,0,7541
2007,MF,24370,0,1948,0,2114,14874,14687,2725,20206,23578,8087,14399,0,5178,0,0,15243
2007,M,16135,0,720,0,718,7142,7680,847,10437,11182,3882,9150,0,2420,0,0,7702
2008,MF,24593,0,1887,0,2190,15225,15123,2581,21097,24086,10188,14986,0,5721,0,0,15615
2008,F,8479,0,1202,0,1475,7866,7214,1758,10409,12663,5257,5605,0,2993,0,0,7587
2008,M,16114,0,685,0,715,7359,7909,823,10688,11423,4931,9381,0,2728,0,0,8028
2009,M,16002,0,628,0,684,7506,7981,908,11345,11854,5875,9489,0,3036,0,0,8115
2009,MF,24846,0,1771,0,2144,15656,15417,2804,22450,24798,12179,15523,0,6331,0,0,15791
2009,F,8844,0,1143,0,1460,8150,7436,1896,11105,12944,6304,6034,0,3295,0,0,7676
2010,MF,24789,0,1754,0,2269,16183,15942,2816,22862,25189,13003,15928,523,6721,0,0,15933
2010,M,15933,0,617,0,737,7796,8287,930,11473,12122,6274,9475,248,3196,0,0,8129
2010,F,8856,0,1137,0,1532,8387,7655,1886,11389,13067,6729,6453,275,3525,0,0,7804
2011,M,16121,0,612,11,707,7968,8436,820,11686,12447,6718,9517,684,3330,0,0,8126
2011,MF,25279,0,1623,20,2217,16408,16139,2579,23040,25513,13927,15949,1416,6853,0,0,16020
2011,F,9158,0,1011,9,1510,8440,7703,1759,11354,13066,7209,6432,732,3523,0,0,7894
2012,M,16285,310,499,21,694,7879,8642,821,11476,12684,6937,9645,1341,3424,0,178,8150
2012,MF,25370,1081,1353,43,2225,16076,16430,2445,22862,25979,14520,15972,2587,7108,0,327,16005
2012,F,9085,771,854,22,1531,8197,7788,1624,11386,13295,7583,6327,1246,3684,0,149,7855
2013,M,16860,334,484,26,618,8024,8715,622,11260,12624,7085,9711,1734,3508,0,334,8316
2013,F,9428,956,769,25,1419,8242,7866,1216,11517,13532,7910,6167,1317,3789,0,249,7934
2013,MF,26288,1290,1253,51,2037,16266,16581,1838,22777,26156,14995,15878,3051,7297,0,583,16250
2014,M,17787,330,417,22,582,7903,8469,600,11398,12755,7038,9730,2075,3632,72,523,8238
2014,MF,28036,1176,1190,53,2022,16092,16227,1913,23021,26797,14952,15905,3557,7515,217,886,16138
2014,F,10249,846,773,31,1440,8189,7758,1313,11623,14042,7914,6175,1482,3883,145,363,7900
